Summary stop stats,,,,,,,,,,,,,,
Selected days,Selected days,01/04/2026 - 30/04/2026,,,,,,,,,,,,
Mean value,Mean value,Average,,,,,,,,,,,,
Columns,Columns,Some are hidden,,,,,,,,,,,,
,,,,,,,,,,,,,,
Stop,Stop,Planned stopping,Planned stopping,IN,IN,OUT,OUT,Frequency of passengers,Frequency of passengers,Occupancy,Occupancy,Occupancy,Occupancy,Delay
Stop,Stop,Planned stopping,Planned stopping,IN,IN,OUT,OUT,Frequency of passengers,Frequency of passengers,Arrival,Arrival,Departure,Departure,Delay
Ident.,Name,APC,All,Σ,Ø,Σ,Ø,Σ,Ø,Σ,Ø,Σ,Ø,Ø
327,Klinikai Központ Nagyerdei Campus,806,3617,3387,4.20223325062035,2839,3.52233250620347,6226,7.72456575682382,10887,13.5074441687345,11459,14.2171215880893,0.00175925925925926
035,Klinikai Központ Auguszta,365,1749,1840,5.04109589041096,874,2.39452054794521,2714,7.43561643835616,3105,8.50684931506849,4106,11.2493150684932,0.00114583333333333
551,Kálvin tér,1076,4670,3916,3.63940520446097,3736,3.47211895910781,7652,7.11152416356877,14454,13.4330855018587,14606,13.5743494423792,0.00125
417,Nagyállomás,367,1090,2572,7.00817438692098,0,0,2572,7.00817438692098,3,3,2575,7.01634877384196,0.000150462962962963
419,Nagyállomás,1226,5849,4503,3.67292006525285,4045,3.29934747145188,8548,6.97226753670473,7720,6.29690048939641,8171,19.4085510688836,0.00175925925925926
145,Dóczy József utca,553,2100,1426,2.57866184448463,2404,4.34719710669078,3830,6.92585895117541,8513,15.3942133815552,7503,13.5678119349005,0.00237268518518519
413,Nagyállomás,1560,6114,9798,6.28076923076923,724,0.464102564102564,10522,6.7448717948718,1191,8.82222222222222,10265,6.5801282051282,0.000671296296296296
408,Nádor utca,358,1530,870,2.43016759776536,1502,4.19553072625698,2372,6.62569832402235,4683,13.0810055865922,4035,11.2709497206704,0.00273148148148148
490,Rózsás Csárda,152,780,271,1.78289473684211,697,4.58552631578947,968,6.36842105263158,1599,10.5197368421053,1170,7.69736842105263,0.00201388888888889
476,Rákóczi utca,1054,4565,1957,1.85673624288425,4616,4.37950664136622,6573,6.23624288425048,17298,16.4117647058824,14648,13.8975332068311,0.00206018518518519
488,Rózsás Csárda,252,1480,349,1.38492063492063,1209,4.79761904761905,1558,6.18253968253968,2577,10.2261904761905,1693,6.71825396825397,0.00199074074074074
034,Klinikai Központ Auguszta,737,3661,1399,1.89823609226594,3096,4.20081411126187,4495,6.09905020352782,5622,10.2591240875912,3884,6.97307001795332,0.00186342592592593
680,Auchan Áruház,65,392,173,2.66153846153846,222,3.41538461538462,395,6.07692307692308,222,6.16666666666667,173,5.96551724137931,0.00099537037037037
235,Helyközi autóbusz-állomás,1500,6572,3723,2.482,5265,3.51,8988,5.992,17382,11.588,15819,10.546,0.0019212962962963
326,Klinikai Központ Nagyerdei Campus,986,4604,2478,2.5131845841785,3422,3.47058823529412,5900,5.98377281947262,14928,15.1399594320487,13880,14.0770791075051,0.00174768518518519
